ID,Date,Close_US,Open_US,High_US,Low_US,Volumn_US,Change_US,Open_SP,High_SP,Low_SP,Close_SP,Adj_Close_SP,Volumn_SP,Change_SP
73,1986/3/10,116.21,116.22,116.9,115.95,0.52K,0.0099,225.57000699999998,226.979996,225.36000099999998,226.580002,226.580002,"129,900,000",0.00447752346791403
74,1986/3/11,115.75,116.17,116.3,115.6,0.49K,-0.004,226.580002,231.809998,226.580002,231.690002,231.690002,"187,300,000",0.022552740554746684
75,1986/3/12,116.1,115.78,116.5,115.65,0.25K,0.003,231.690002,234.69999700000002,231.67999300000002,232.539993,232.539993,"210,300,000",0.0036686563626514065
76,1986/3/13,116.9,116.5,117.0,116.35,0.03K,0.0069,232.539993,233.88999900000002,231.270004,233.190002,233.190002,"171,500,000",0.002795256814168662
77,1986/3/14,115.5,115.2,115.5,114.99,0.02K,-0.012,233.190002,236.55000299999998,232.580002,236.55000299999998,236.55000299999998,"181,900,000",0.014408855316189684
78,1986/3/17,115.0,114.75,115.0,114.5,0.02K,-0.0043,236.55000299999998,236.55000299999998,233.690002,234.669998,234.669998,"137,500,000",-0.007947600829241938
79,1986/3/18,114.35,114.65,115.0,114.45,0.07K,-0.0057,234.669998,236.520004,234.13999900000002,235.77999900000003,235.77999900000003,"148,000,000",0.004730050749819496
80,1986/3/19,115.62,115.6,115.9,115.3,0.33K,0.0111,235.77999900000003,236.520004,235.13000499999998,235.600006,235.600006,"150,000,000",-0.0007633938449546964
81,1986/3/20,114.88,115.25,115.45,114.85,0.70K,-0.0064,235.600006,237.08999599999999,235.600006,236.539993,236.539993,"148,000,000",0.003989757962909399
82,1986/3/21,114.67,114.9,114.9,114.28,0.39K,-0.0018,236.539993,237.350006,233.289993,233.33999599999999,233.33999599999999,"199,100,000",-0.013528355012676543
83,1986/3/24,117.39,117.0,117.4,116.3,0.66K,0.0237,233.33999599999999,235.330002,232.919998,235.330002,235.330002,"143,800,000",0.008528353621811249
84,1986/3/25,118.62,117.8,119.05,117.8,0.57K,0.0105,235.330002,235.330002,233.61999500000002,234.72000099999997,234.72000099999997,"139,300,000",-0.0025921089313552105
85,1986/3/26,118.7,118.9,119.45,118.2,0.24K,0.0007,234.72000099999997,237.789993,234.710007,237.30000299999998,237.30000299999998,"161,500,000",0.010991828514861022
86,1986/3/27,118.22,117.8,118.4,117.65,0.30K,-0.004,237.30000299999998,240.11000099999998,237.30000299999998,238.97000099999997,238.97000099999997,"178,100,000",0.007037496750474094
87,1986/3/31,118.08,119.1,119.5,118.05,0.32K,-0.0012,238.97000099999997,239.86000099999998,238.080002,238.899994,238.899994,"134,400,000",-0.00029295308912006705
88,1986/4/1,118.37,118.1,118.7,117.65,0.45K,0.0025,238.899994,239.100006,234.57000699999998,235.13999900000002,235.13999900000002,"167,400,000",-0.015738782312401296
89,1986/4/2,119.25,119.2,119.65,119.1,0.21K,0.0074,235.13999900000002,235.710007,233.399994,235.710007,235.710007,"145,300,000",0.00242412181008801
90,1986/4/3,120.38,119.68,120.8,119.6,0.34K,0.0095,235.710007,236.419998,232.07000699999998,232.47000099999997,232.47000099999997,"148,200,000",-0.013745729514148385
91,1986/4/4,121.1,120.75,121.3,120.55,0.30K,0.006,232.47000099999997,232.559998,228.32000699999998,228.690002,228.690002,"147,300,000",-0.016260158230050406
92,1986/4/7,120.7,121.4,121.7,120.51,0.61K,-0.0033,228.690002,228.830002,226.30000299999998,228.63000499999998,228.63000499999998,"129,800,000",-0.0002623507782382627
93,1986/4/8,118.55,118.8,119.18,118.55,0.87K,-0.0178,228.63000499999998,233.69999700000002,228.63000499999998,233.520004,233.520004,"146,300,000",0.02138826441437561
94,1986/4/9,118.85,118.4,119.0,118.25,0.86K,0.0025,233.520004,235.57000699999998,232.13000499999998,233.75,233.75,"156,300,000",0.0009849091986140932
95,1986/4/10,117.13,118.65,118.81,116.99,0.87K,-0.0145,233.75,236.539993,233.75,236.440002,236.440002,"184,800,000",0.011508029946524032
96,1986/4/11,117.65,117.15,117.8,116.94,1.05K,0.0044,236.440002,237.850006,235.13000499999998,235.97000099999997,235.97000099999997,"139,400,000",-0.0019878235325003287
97,1986/4/14,117.69,118.0,118.15,117.5,0.58K,0.0003,235.97000099999997,237.479996,235.42999300000002,237.27999900000003,237.27999900000003,"106,700,000",0.005551544664357841
98,1986/4/15,117.77,118.05,118.15,117.3,0.47K,0.0007,237.27999900000003,238.08999599999999,236.63999900000002,237.729996,237.729996,"123,700,000",0.0018964809587679059
99,1986/4/16,115.48,115.87,116.06,115.4,0.77K,-0.0194,237.729996,242.57000699999998,237.729996,242.22000099999997,242.22000099999997,"173,800,000",0.018886993966045276
100,1986/4/17,114.75,114.7,115.3,114.05,0.62K,-0.0063,242.22000099999997,243.36000099999998,241.88999900000002,243.02999900000003,243.02999900000003,"161,400,000",0.003344059106002829
101,1986/4/18,112.93,114.15,114.25,112.75,5.28K,-0.0159,243.02999900000003,243.47000099999997,241.74000499999997,242.38000499999998,242.38000499999998,"153,600,000",-0.0026745422485890276
102,1986/4/21,113.35,113.55,113.65,113.1,2.71K,0.0037,242.38000499999998,244.77999900000003,241.88000499999998,244.74000499999997,244.74000499999997,"136,100,000",0.009736776760937791
103,1986/4/22,112.72,112.8,113.82,112.6,2.60K,-0.0056,244.74000499999997,245.47000099999997,241.30000299999998,242.419998,242.419998,"161,500,000",-0.00947947598513768
104,1986/4/23,112.71,112.45,113.17,112.45,1.17K,-0.0001,242.419998,242.419998,240.080002,241.75,241.75,"149,700,000",-0.002763790139128673
105,1986/4/24,113.0,112.85,113.38,112.78,0.93K,0.0026,241.75,243.13000499999998,241.649994,242.020004,242.020004,"146,600,000",0.0011168728024819033
106,1986/4/25,111.35,113.25,113.42,111.15,0.77K,-0.0146,242.020004,242.80000299999998,240.91000400000001,242.289993,242.289993,"142,300,000",0.0011155648109154217
107,1986/4/28,111.58,111.8,111.86,111.35,0.53K,0.0021,242.289993,243.080002,241.229996,243.080002,243.080002,"123,900,000",0.003260592772397322
108,1986/4/29,112.19,111.95,112.2,111.7,0.64K,0.0055,243.080002,243.57000699999998,239.229996,240.50999500000003,240.50999500000003,"148,800,000",-0.010572679689215962
109,1986/4/30,112.62,112.55,113.09,111.4,1.82K,0.0038,240.520004,240.520004,235.25999500000003,235.520004,235.520004,"147,500,000",-0.02074754107412472
110,1986/5/1,114.02,113.0,114.38,112.85,1.20K,0.0124,235.520004,236.00999500000003,234.210007,235.16000400000001,235.16000400000001,"146,500,000",-0.0015285325827354573
111,1986/5/2,113.48,113.7,114.15,113.1,0.97K,-0.0047,235.16000400000001,236.520004,234.149994,234.789993,234.789993,"126,300,000",-0.0015734435860955554
112,1986/5/5,111.61,112.1,112.3,111.57,1.47K,-0.0165,234.789993,237.729996,234.789993,237.729996,237.729996,"102,400,000",0.012521841167225514
113,1986/5/6,112.41,113.7,113.75,112.21,1.01K,0.0072,237.729996,238.27999900000003,236.25999500000003,237.24000499999997,237.24000499999997,"121,200,000",-0.002061123998841239
114,1986/5/7,111.8,112.62,112.77,111.55,0.71K,-0.0054,236.559998,237.24000499999997,233.979996,236.080002,236.080002,"129,900,000",-0.00488957585378554
115,1986/5/8,112.04,111.3,112.1,110.8,1.70K,0.0021,236.080002,237.960007,236.080002,237.13000499999998,237.13000499999998,"136,000,000",0.004447657536024484
